text	sentiment
Iberia celebra su 90 aniversario: casi un siglo volando con los españoles  url  url	NEU
Disponibilidad aérea Internacional en los siguientes destinos:(tarifas sujetas a cambio sin previo aviso contacto L...  url	NEU
las canciones de ryanair se ponen cada vez más turbias	NEU
Y ya van algunos volando con vosotros... Felicidades!  url	NEU
username saliendo del username username username username username username username...  url	NEU
hola username compré pasajes a través de tu web y use la opción de cuotas. veo el estado de cuenta de este mes y veo...  url	N
username ¡Gracias por responder! Un detallito en forma de galletas o algo habría estado muy bien... ¡Qué hambre! ¡Habría sido justo!	P
username username Decidme por favor que tenéis ese avión bajo custodia en algún lugar... 😞	N
Vuelos a 5€. En vez de ir a cenar al McDonalds nos vamos a Alemania	P
Cuando tienes puntos de username y el billete te sale un 50% más barato!!  url	P
La sonrisa del personal de vueling hace que tu viaje sea maravilloso. Nada que ver con Ryanair. Serán las políticas de empresa.	P
Portada - No sólo sus pilotos y sus tripulantes de cabina están plantando cara a la aerolínea de bajo coste irlande...  url	N
Hace 90 años Iberia unió Madrid y Barcelona por 163 pesetas. ¿Cuánto costaría hoy ese billete?...  url	NEU
VIDEO: Reconstruyen el trágico accidente de Spanair ocurrido en Madrid en 2008  url  url	N
username Hola	N
RT: unionradionet :Ryanair reconocerá a los sindicatos de pilotos para evitar huelgas  url  url	NEU
Pilotos amenazan con nuevas protestas en contra de Ryanair en Europa:  url NoticiasEc	N
Iberia y Air Europa lanzan sus rebajas con vuelos a Europa  url username username  url	NEU
Ada Colau está mirando en Ryanair billetes para Bélgica por si acaso. Cógelos antes de que se queden sin pilotos!!!!	N
username username username username Aunque sea cobrando más por ello??... Y lo dice usted sin despeinarse...  url	N
Creo que username debe actualizar su manual de excusas porque ésta está ya muy manida. ¡Invéntense otra cosa	N
Ryanair se planta ante sus pilotos	N
username username gracias por la respuesta. No he obtenido la misma a mi reclamación formulada. Perdimos el vuelo gra...  url	N
Ryanair cede ante sus pilotos y reconocerá a los sindicatos  url vía username	NEU
Me obligan a bajar mi maleta a bodega y todo este espacio en el avion de username vacio  url	N
Cansada nivel: capaz de echarme una siesta en el avión de Ryanair.	NEU
DeportesUHN En  vuelo de iberia procedente de Madrid (España) llegó la bicicleta del pedalista boyacense...  url	N
Tiene un buen perfil de atención al cliente	P
username ¡Eso! Tomo nota para llevar varios bultos de equipaje de mano la próxima vez y asegurarme que entro de los...  url	N
NotasDeImpacto Pasajero de la aerolínea Ryanair se harta de esperar y se baja por el ala de un avión en Malga	N
Con username	NEU
username username En cuanto les he pasado el mail de que Ryanair me decía que no me daban nada	N
Iberia aumentará 40% su oferta entre Bogotá y Madrid  url username	NEU
Increíble el servicio de username en el aeropuerto de Ezeiza. 72h si  saber nada de mi maleta.	N
Con username	NEU
username Que Iberia había aumentado sus vuelos todos los años? 😂🙈Wow	N
Con username	P
username En Serviberia se han reído de mí y por lo q veo ustedes tampoco resuelven nada! No es justo elegir comprar...  url	N
username username Un desastre.	N
username username Lamentable username horrible	P
username Os imagináis a un piloto de Iberia al que hubiera que darle consejos de cómo aterrizar con niebla justo en u...  url	N
Ryanair se planta ante sus pilotos	N
username Lo que me impresiona es que en 2017 me pidáis que imprima un pdf (!!)	N
username cumple 90 años  url	NEU
Un pasajero de un vuelo de Ryanair desembarca por un ala del avión. Tampoco es tan raro... ellos te hacen correr po...  url	N
username 🤔 curioso	NEU
Estos días haciendo compras y viajes con username username username y ningún problema	NEU
Historia viva.	P
username Afortunadamente los que no estamos en el taco podemos viajar en avión gracias a RYANAIR. No todos po...  url	NEU
username Cuneo	NEU
username username username username username username username username username...  url	NEU
username Hola! Una pregunta. Tieniendo NIE de dos años residiendo en Mallorca para viajar a MAD Se aplica el descuento de residente? Gracias.	NEU
username ¡Hola! ¿Queda alguna plaza a 5€? ¿Podrías decirme a dónde y qué fechas? Gracias.	NEU
username username Ahhh..no lo sabía	NEU
Así fue el accidente del vuelo 5022 de Spanair	N
Me ha parecido interesante: Cláusulas de ley aplicable en condiciones generales de la contratación: a propósito del...  url	N
username Me adhiero mejor a la idea del dueño de Ryanair	N
Ryanair convoca huelga en las Navidades Turismo  url	N
username Pues si y no. Pq me dijeron que probablemente iban a denegar mi queja por no tener el papel del aeropuerto....  url	N
AVIACIÓN RYANAIR - Ryanair reconocerá a los sindicatos de pilotos para evitar huelgas  url  url	P
El Seve Ballesteros podría superar en 2018 el millon de pasajeros gracias a la oferta de username y username ➡️...  url	NEU
username Y confirmais cómo os reis del cliente: HACEIS LLAMAR A UN NÚM DE PAGO PARA DECIR NO TE DEVUELVO NADA	N
Oferta de empleo TCP: username busca auxiliares de vuelo este diciembre en Madrid y Barcelona...  url	P
Si aparece me gustaría verlos también	NEU
Hola username tengo una reserva pagada pero no recibí el correo electrónico (si el SMS). Entrando con mi correo dic...  url	NEU
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	NEU
username username username username username username username username username...  url	P
Qué bien que empecé a fumar con 13 años y me atrofié el crecimiento porque ahora voy comodísimo siempre en Ryanair.	N
username cancelan vuelo en Frankfurt y después de 17horas de cola nos dicen que subamos a un autocar y nos lleva...  url	N
Cuando la aviación se convirtió en algo tan banal como ir en autobús? username username username username tenemosdebate	NEU
username username. Me dicen que Ryanair conecta directamente a la segunda ciudad de Portugal con 80 capitales mundia...  url	N
username HolaArgentina 🌍 quiero viajarr 😊	P
Ryanair sufre la primera huelga de pilotos de su historia  ¿Te afectará?  url	NEU
username username Por qué no pagáis las indemnizaciones por cancelaciones? Aviación Civil Británica me da la raz...  url	N
username username Yo nunca viaje con Ryanair	N
Así fue el accidente del vuelo 5022 de Spanair	N
username username Uno piensa que no pueden ser más inútiles	N
username username username username debe pagar la bicicleta	NEU
username Gracias. La disfrutaremos.	P
Por un día Iberia	N
Efecto dominó en Ryanair: huelga en Irlanda e Italia que amenaza con expandirse  url	N
Con username	NEU
username mira el nuevo modelo de los Ryanair  url	NEU
1927.  En España	N
90añosdeIberia en Argentina username  url	NEU
Hola username username la persona que ha realizado el embarque a Málaga en la puerta H21 de la T4 en Madrid d...  url	P
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	NEU
Puede hacerle competencia a Iberia😂	N
username HolaArgentina qué lindo ganar!!!	NEU
username username username No se tu caso específico	NEU
ÚLTIMA HORA: Oferta Ryanair vuelos a 2 euros  url Vía VuelosA1Euro	P
username Plaza de España	NEU
username username username username Por que se tiene que hacer responsable una persona amiga de la r...  url	N
username Vuelo IB6454 Quito-Madrid	N
Ryanair planea reducir a la mitad las comisiones de las OTAs a los hoteles  url	P
username ¿Todavía tienes vuelos de Barcelona a Badajoz en abril?	NEU
Con username	NEU
username tengo para registrar millas en iberia un vuelo a madrid	NEU
Ojalá le compren una pizarra nueva ahora que se fue a los potreros.  url	NEU
username Doy fe de las toallitas antidesteñidos de Iberia. De más de un lío me han sacado.	NEU
username username Muchas gracias	NEU
username username username username Respuesta Correcta Don Fernando😛😀	NEU
Norwegian reta a Iberia con vuelos a EEUU desde Madrid  url	P
Oleada de huelgas en Ryanair estas Navidades	N
Gracias a username empiezo las navidades con lo puesto! sinmaleta equipajeperdido losreyesosvanatraercarbon conlopuesto	N
username username Hoy dejaron a mi hermano abajo del avion y nadie le dio asistencia en EZEIZA tampoco le exp...  url	N
username Enhorabuena username y que cumpla muchos más.	P
Ryanair transportó 129 millones de pasajeros durante 2017  url	P
username Madrid es hermosa como varias de las recorrimos en el tour.La Alhambra fascinante	P
username username RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEM...  url	N
Si yo llego tarde a un vuelo me jodo y tengo que pagar otro billete username se retrasa y lo máximo que te dicen...  url	N
Hola! username	NEU
username Ve en Iberia	NEU
Estas cosas no solo le pasan a Ryanair...  url	NEU
username username Lo que tenéis que hacer es tener gente profesional y no habrá que reclamar nada.  Sois los más caros y los más malos	N
iRacing: Aqui os presentamos la implementación de algo nuevo en lo que llevamos mucho tiempo trabajando! 	N
username ayer me dejé olvidada la tablet en un avión de su compañía. Sigo el procedimiento web para solicitar su rec...  url	NEU
username o vuela mi amigo Rafa o ateneros a las consecuencias... pregúntale al Carmona si queréis	NEU
LA WEB DE username NO FUNCIONA	N
username Incluso podéis ayudarme en esta ocasión. Trasladando mi queja a quien tome la decisión de usar estos buses...  url	N
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	NEU
AEROLÍNEAS - Ryanair ha optado por aplazar hasta mediados de enero	NEU
Gracias username por hacernos embarcar a pie a las 7am con temperaturas de 2 grados inclusive pasajeros con muletas...  url	N
RT: unionradionet :Pilotos irlandeses de Ryanair desconvocan huelga para el 20 de diciembre  url  url	P
username vamos? 😂😂😂😂😂  url	NEU
Con username	NEU
username peor q Ryanair con las maletas. Los maleteros vacíos y mi maleta en la bodega teniendo como mucho 20...  url	N
username username Señor del Twitter. Los asientos de iberia están dentro de la normativa que les afecta. En EEU...  url	NEU
username Hola de nuevo. He vuelto a intentarlo desde diferentes navegadores y dispositivos. Al pinchar en Buscar	N
Así fue el accidente del vuelo 5022 de Spanair	N
username Claro	N
Iberia Express renueva su carta menú e incorpora nuevos contenidos a su oferta  url  url	P
username username Ryanair de Moscú a Londres	NEU
username Hoy despues de 6 días ha llegado mi paquete. Me llamo el repartidor y en 2 minutos habíamos acordado...  url	N
Con username	P
Ryanair la máquina de evadir impuestos: las contrataciones  url  url	N
username En una reserva de 3 personas si no pagas 60€ extra por vuelo te asignan asientos SÚPER separados. Llamas pa...  url	N
Despegamos desde la R36 guiados por username en el VY1200 username	NEU
username Atención al cliente no pudo explicar por qué me vendieron un billete en un vuelo que ya iba lleno y me han...  url	N
username no dan ninguna solución. Para colmo no podemos hacer el check in de la vuelta porque el tramo GRU -...  url	N
username username username username username username username username username...  url	P
Año 2017	N
Lucía	P
Con username	P
username ya sabemos por dónde empezar un nuevo viaje. Gracias username	P
username Pues menos mal que no te perdieron mas maletas o se canceló el vuelo es mucho mas habitual en iberia	N
Hay asientos cómodos	N
username Desde Argentina. Después de 12minutos me atendieron. El NPS se va a pique y eso que no volé todavía :(	N
Desconvocan la huelga de username de Ryanair en Irlanda vía username  url	N
Línea Directa	N
Mierda de página de username 2 días intentando gestionar mi reserva y todo tipo de errores y tampoco permite acceder a página de contacto	N
username username de el? Me están sangrando los ojos.	N
Hoy estamos en el foroCIBarcelona junto a username y username. Una sesión especial en la que hablaremos...  url	NEU
username username username username Todas las bases com los mismos problemas	N
Con username	NEU
Retweeted Devir Iberia (username):	NEU
username username username username username Por supuesto	N
username Hola	N
username username username username username username username Creo que falta Magallanes Iberia	NEU
Hace 10 años Mercedes de la Merced gastaba 25.32€ con su tarjeta black en IBERIA	NEU
Los pasajeros del vuelo Madrid - A Coruña gracias a Iberia y Samsung	P
username username username username username username username username username...  url	NEU
Buenos días y feliz año! Aquí sigo 	N
Con username	P
username yo apuesto por el Ryanair mañanero de las 6:00 am	NEU
username username El pobre me ha pedido unos días de vacaciones	NEU
username username Norwegian tengo entendido que es la marca barata de Iberia la qual siempre se ha negado a...  url	NEU
username llevo esperando que me reembolseis 660.27€ pro la cancelación del vuelo FR 2085 del 17 de Septiembre Ref 1...  url	N
Feliz cumpleaños	NEU
 Temperaturas de Iberia a las 7am	NEU
Sociedad / Ryanair y Vueling	N
username Por favor	N
Con username	N
Con username	NEU
username Deberíais de controlar a vuestras trabajadoras porque creo que tenéis una Obsesa por username  ........  url	P
Palletways Iberia colabora con la Asociación Zuera Solidario – María Pilar Comín Pueyo	NEU
Soñar no cuesta nada	P
Buenos días username	N
Cuando la punta de ala de un A-350 de username se camufla con la deriva del A-340 de username . Felicidades po...  url	P
username Buenos días! Para cuando vuelos directos de Ginebra a Tabarnia operados por username ?	N
username Definitivamente no es una demora sino una perdida de mi maleta. Hoy se cumplirán 72 horas de la incompetenc...  url	N
La decisión de Ryanair sobre el equipaje de mano que va a enfadar a la mayoría de sus clientes  url	N
username username Yo deje de verlo también. Tolerancia cero.	N
username username Bon any y muchos éxitos. Esperamos que todo lo bueno que logremos con la...  url	P
username username Celia te echaremos de menos hoy en el CongresoIEXP 😢😢😢	NEU
▶️ ¿EL PEOR EJERCITO DEL MUNDO?	NEU
username username username username username username Ahora además de no pasar por caja reparten de...  url	NEU
username username username Exacto	N
Logitravel rompió con Ryanair porque ‘los dos fuimos fieles a nuestros principios’ | Nexotur  url	N
Las compañías eléctricas tienen que invertir en digitalizar y dotar de inteligencia a la red eléctrica	P
username username Es bastante mala la atención de Iberia. Proba por face que demoran bastante pero menos	N
username Lamento leer las quejas	P
HolaEuropa hoy me tomé esta foto cool en la calle en un paradero de bus para ver si username me lleva a Madrid ✌ en...  url	P
Iberia inaugura un nuevo espacio Premium en el aeropuerto de Madrid  url	P
Ryanair reconocerá a los sindicatos de pilotos para evitar huelgas en Navidad	P
Guerra de precios bajos entre Iberia Express y Ryanair  url	NEU
username username username También hay demanda a Santo Domingo desde Berlín y no hay vuelo directo. Por qu...  url	N
username Tanto Iberia como el resto de aerolíneas tienen menús alternativos para todo tipo de intolerancias o di...  url	N
username Ni sin pagar ni pagando...que gran web tenéis  url	N
Volar con username no es solo que te lleven de A a B	P
username con retraso como siempre vueloFR5447 MAR-MAD  url	N
Volviendo de Múnich hacia Madrid con Iberia para llegar a la cena de Nochevieja y a las campanadas y luego a un bol...  url	N
Como lo que parece no es...y lo que	N
Buenos días. Parece que American se ha marcado un Ryanair por Navidad 🛫  url	N
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	P
Iberia dejará de volar a Guinea Ecuatorial a partir del 23 de enero  url vía username	N
username username gracias por retuitear.	NEU
Viral  Un pasajero del avión Ryanair	N
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	P
username Vaya esquemas mas chulos para Iberia!	P
El vuelo con retraso	N
Con username	NEU
No hay nada como un vuelo directo	P
Ryanair cierra 2017 con 129 millones de pasajeros	N
Ryanair está regalando 2 billetes gratis a todo el mundo después de la cancelación de más de 2000 vuelos.  url	NEU
username Todavía estoy esperando una respuesta de username por mi queja. Esto de las cuentas de twitter para...  url	N
Ryanair tira la toalla: reconoce a los sindicatos de pilotos para evitar un caos en Navidad | Noticias de Aerolínea...  url	N
username En el aeropuerto de Barcelona todo el servicio de tierra lo hace Iberia o hay compañías que tienen sus propios trabajadores?	P
Iberia y Renfe arrancan el año con rebajas del 70% y billetes a 25 euros  url	P
Detallazo 😊. Muchísimas gracias	P
Grande username. Falla la web al facturar equipaje adicional impidendo hacerlo y emitiendo las tarjertas de embarque...  url	N
Listooo! HolaColombia ✋ ese viaje es mío ✈️  username	NEU
Un pasajero de Ryanair se sube en un ala del avión cansado de esperar para salir:  url NoticiasEc	NEU
Los tripulantes de cabina españoles denuncian a Ryanair por fraude y explotación laboral  url	NEU
Iberia y su propuesta para 'capturar' a los turistas premium del Perú  url	N
Ryanair reconocerá los sindicatos de sus pilotos para frenar una ola de huelgas  url  url	P
Iberia y Air Europa lanzan sus rebajas con vuelos a Europa desde 29 euros  url	P
Hola username 	NEU
Ryanair reconocerá a los sindicatos por primera vez en su historia  url vía username	P
No estaria malament parlar  tots en català  a aquesta cia. Pseudo-iberia; muy española i mucho española  url	N
holacolombia 	P
Hola username sabéis porque no funciona el código descuento. Nadie dice nada al respecto.  url	N
Marca blanca de polo	NEU
username username mucha suerte y feliz año	NEU
Joder	P
username 	N
Ryanair volará desde Valencia a Praga	P
username username username username Tiene que reservarla 24 horas antes. No es tan complicado...	NEU
Iberia aumentará sus vuelos semanales de la ruta Buenos Aires-Madrid en 2018  url	P
username Hola! Pregunto a Uds: puedo comprar un billete aereo no teniendo aun mi pasaporte? (Lo estoy renovando y me...  url	NEU
Esperando 40 minutos (y seguimos) a que nos de una explicación username username (en Lanzarote) de porque no n...  url	N
Feliz cumpleaños username . A seguir volando bien alto. 90aniversarioIberia MeGustaVolar...  url	NEU
username En el mismo sitio donde regalan las α7R III. Y no es en vuelo de Iberia...sino en el mundo de los sueños :-P ^Jose	N
username username username username Cuanto pesa el perro?	N
username username username Bueno Ryanair es low cost...	N
username Y en el teléfono de atención al cliente el servicio es una vergüenza.	N
Rsc. iberia express lleva a 30 jóvenes de down madrid a los estudios warner bros en londres  url	P
AVIACIÓN RYANAIR - Ryanair reconocerá también a los sindicatos del personal de cabina  url  url	P
En la Comunidad Iberia el concejal username compartió con los niños en la fiesta navideña. 🙌  url	P
username que vergüenza no?Qe compres un vuelo ida-vuelta Madrid-Santander y por un retraso en otro avión no poder co...  url	N
Iberia mejora su servicio hacia y desde Milán: Más vuelos	P
Finalmente volo con un A380 — estoy viajando a Dubái (ciudad) desde Sala VIP Iberia T-4S - Aeropuerto Madrid/Barajas  url	P
username cuál es su política de retirada a bodega de equipaje de mano? Unas veces se lo quitan directamente al grupo...  url	N
username Las 1001 reclamaciones las he hecho por email	N
Hoy se cumple un mes esperando solución a mi reclamación sobre un vuelo de LEVEL shameonyou username username badcustomerservice	N
Estimado Comandante del vuelo de username IB522 con salida el sábado a las 19h en pleno ONosoDerbi: Por favor	NEU
username username Al que ha ganado no le hace falta el viaje 🙄	P
Los clientes de Ryanair no podrán llevar maleta de cabina sin pagar embarque prioritario  url  url	N
username por iberia llave.	NEU
Enhorabuena capitán!!! 😜  url	P
Aerolíneas anunció un nuevo paro. Aprovechemos que están acá  y pidamosle American Airlines a EEUU	NEU
Con username	P
username Cosa rara: he comprado sin poder usar mi IB+; cuando la confirmación	N
username estoy tratando de tramitar el refund por la reserva de asientos de un vuelo pero su pagina no funciona.  Cu...  url	N
username Buenas. Mandé un mail informando de un error a la hora de registrarme en Iberia Plus. No he recibido contestación.	N
username la gestión de la compra la realicé con Uds. y son Uds. los q realizaron él cargo en mi cta. sin mi consentimiento.	N
username me pierde la maleta	N
El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas	N
Yo no se si username tiene más retrasos o maletas perdidas.	N
username username Eso le ha pasado a un chico que conozco que vive en Suiza. No entiendo lo de vender mas plazas...  url	N
username sigo indicaciones de Iberia.. sin respuesta. He escrito al centro de atencion de equipajes.Más de 72 horas...  url	N
Así fue el accidente del vuelo 5022 de Spanair	N
username De momento no	N
Nada	N
username Que engorro lo de los asientos... A nosotras mañana Ryanair nos sienta separadas 😑	N
username Ahora en Guatemala hay que llegar 4 horas antes para viajar a EEUU. Por cierto	N
Ese momento cuando abres tu Mail y los pasajes en username están a 800 dólares a las europas &gt;.&lt;	N
username Sí	N
username username username Hubo varias empresas en el pasado con un montón de supuestos...	N
username Es un poco complicado medirlas	NEU
Ryanair retrasa hasta el 15 enero su cambio en la política de equipaje de mano  url	NEU
Hoy el CoroAbierto ha participado en la clausura de los Premios Foro Justivia y Discapacidad del username  url	N
username username 10 meses sin responder una reclamación porque son: 	N
Con username	NEU
username quiero saber cómo puedo recuperar mi contraseña de cliente Iberia ! Es urgente !!!!!!	NEU
Hace años viajando desde Barcelona a a Inglaterra en Ryanair las azafatas solo hablaban en inglés 🤤🤤🤤🤤	P
username y si te contrata ryanair buena suerte en la vida porque tremendos explotadores son xd	N
Vaya! La web de username caída otra vez. Sucede cada vez que lanzan una promo. Y nos quejábamos de la de username	N
creo que os habéis equivocado de link...  url	NEU
Grande idea de username Aerolíneas Momentos: E03 - La aventura y el viaje en los 40  url	P
SOCIEDAD | Ryanair ofrece hoy cien mil billetes desde 5 euros para volar en enero desde Alicante...  url	P
IBERIA  6501 esperando que pase la tormenta en el aeropuerto de Santo Domingo SDQ  url	N
Aplaudir cuando aterriza un avión de Ryanair no es ninguna tontería.	N
✈️ Hace 90 años el rey Alfonso XIII presidió el acto de inauguración del primer vuelo comercial de username con la r...  url	N
username username Felicidades!!!	P
DHL Parcel se consolida como uno de los principales proveedores del comercio electrónico B2C en Iberia y en Europa...  url	NEU
username HolaColombia no conozco q Rico q me invitaran Jajajaja	NEU
username username username username username username username username...  url	NEU
username he intentado en la web comprar un billete Tenerife a Barcelona a las 7 de la mañana y no me salen pero en o...  url	NEU
username username username Por que sigues confiando tus cosas a esa pésima aerolínea campeón?🤔	N
EL PAÍS Economía Iberia y Air Europa han lanzado su campaña de rebajas con vuelos a Europa desde 29 euros y a Estad...  url	P
username Por si le interesa	P
username ALICANTE!!!!!!	P
username 40€ sólo por ir	N
username username username Ojala algún día se tengan oficinas de la username significaría que la esce...  url	P
username Pues yo lamento más	N
username Para que? Ya he puesto la reclamación y no sirve de nada. Es la 3ª maleta que me perdéis en 3 viajes a Chin...  url	N
En la primera división del Fútbol Joven hay 3 nuevos rivales: Deportes La Serena	NEU
username México-Madrid con Iberia	NEU
username username YA lo hice	N
username Estoy intentando pagar una reserva de vuelo + hotel pero la página web no funciona. Aparece el siguiente me...  url	NEU
username Mentiras... Cual nueva Iberia	N
username username username username username Buen vuelo	NEU
username username Típica respuesta institucional... No va al caso. Nuevamente.	N
username No la recupero hasta el día que el día que vuelvo. Ya que estamos de ruta por diferentes ciudades de china...  url	N
username username username username username username username username...  url	P
Oferta de empleo: Vice Iberia Group busca PR Manager a media jornada en Madrid  url Periodismo Comunicación	N
Lo que nunca me va a pasar cuando me suba a un avión  url	NEU
Muchas felicidades username por muchos muchos más. A volar ¡¡¡✈️✈️  url	P
username Lo he hecho a través de la empresa reclamadora	N
username y encima he de pagar 30 euros por gastos de gestión	N
username Ya no llegue iberia y su vuelo de mas de 15 hrs de la cd de mexico ptmdr...	N
username username username username username username username username username username username...  url	NEU
username RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM...  url	N
username username Pues si	N
Ryanair se apunta al Black Friday con rebajas para volar desde Sevilla  url noticias feedly	P
username quiero comprar mi asiento	N
username Este senyor suspende más actos que Ryanair vuelos.	N
Señores de username	N
Con username	N
Iberia anuncia nuevas frecuencias para la Argentina.  url	P
username username Que lindo! Yo nunca viaje a españa y tampoco en Iberia...ojalá pronto se de	NEU
LOS MATO.  url	N
Así fue el accidente del vuelo 5022 de Spanair	NEU
Aterrizando username en username vía username	NEU
username username username No. El servicio de atención al cliente se ha negado a ayudarme. Dicen que no es...  url	N
¿Qué podrías hacer en tu negocio con 210 días más? - Luis Pardo	NEU
username Lo he hecho tres veces ya enviando un correo a la direccion indicada oexvyusername.es. Nunca recibí respuesta alguna.	N
Con username	N
Iberia y Air Europa lanzan sus rebajas con vuelos a Europa desde 29 euros  url vía username	P
username username Hola	N
Compras un vuelo username username con un bebé (16m) y cuando vas a facturar en un avión medio vacío te asignan...  url	N
username cuantas veces tengo que hacer una solicitud para tramitar un reembolso por un viaje por la defunció...  url	N
username Vaya... 😪 Ojalá mi primer viaje en avión (que fue con vosotros) hubiese sido en esa joya 😃 Un saludo	P
username Y cuando sortean vuelos? Jajaja	P
Esas grandes ofertas de username que no han cambiado los precios de ninguno de los vuelos que tenía mirados. Bien. Truño	N
Es paradójico que la generación RyanAir	N
Así fue el accidente del vuelo 5022 de Spanair	N
username HolaArgentina holaa nos vamos!	P
Volamos casi siempre con Ryanair y últimamente hemos pagado los asientos para no ir separados. Post MUY útil!!  url	N
Si username quiere	NEU
Línea Directa	N
username username username La ilusión es la que tiene que despegar siempre 👍😉	P
Este domingo volví de Madrid a Málaga en uno de los nuevos aviones de username y de vuelo no fue más de media hora 😬quégenial	P
username username username Yo la experiencia que he tenido con estos ha sido pésima. Nunca mais.	N
Eso no es nada nuevo con las aerolíneas hay muchos antecedentes	N
username muy mala asistencia!! no la recomiendo y desde hoy jamas dare buena critica sobre como tratan a sus clientes!!	N
username me voy de viaje 3 meses a España y quisiera saber si es posible llevar una ps4 en la valija de cabina con juegos físicos	NEU
Con username	P
Coñazo de Ryanair!!	N
username username Y encima te habrán cobrado un pico por llevarla.	N
Samsung obsequia a los pasajeros de un vuelo de username con su Galaxy Note 8 username  url  url	NEU
IBERIA EXPRESS celebra su quinto aniversario con una oferta única  url vía username traveling coloralia	NEU
username Pues estamos sentados juntos pero con grupos de embarque separados. Incordio total.	N
Ryanair afronta la primera huelga de pilotos de su historia  url	N
username username Necesito una solución x el horario de mi reserva desde vueling. No es lo q yo compre	N
username No me deja participar..la página no funciona cuando le doy a enviar el código :/	N
Excelente campaña de username  url	P
Barómetro Business: En 2 de cada 5 reservas se utiliza la tarjeta frequent flyers de la compañía aérea; Iberia es...  url	NEU
¿Cuánto cobra Ryanair por corregir erratas en los billetes de avión?  url vía username ponuncorrectorentuvida	NEU
🇨🇿 NUEVA RUTA | El aeropuerto recuperará tras 6 años los vuelos directos con Chequia	NEU
username llevo más de 30h en el extranjero sin mi maleta. La reclamación está hecha y parece ser que está de camino....  url	N
Como alguien que mide más de 1.70 m puede sentarse en un asiento de Iberia?????? Mis rodillas están tocando el asiento de delante 😤	N
username No	N
username iberia facturó 556 millones de euros en 2016	NEU
username Hola 👋 ingrese con Facebook xq a pesar de haber viajado con Uds 	P
RT LasMansiones: El fundador de ryanair rebaja el precio de su mansión 35 millones de dólares  url	NEU
username username Asi habra que salir del avión con Ryanair cuando ya ni te pongan escalera.	N
Iberia quiere suspender sus vuelos de Madrid a Malabo por la falta de rentabilidad  url	NEU
username Jajajaja si es Iberia y es intercontinental puedo decir por mí vasta experiencia que no se nota la diferencia 🤣🤣🤣🤣	N
username username Y si te contara la respuesta que me dio su “agente de servicio al cliente”... Tendrías todo un...  url	N
username me está poniendo de mala ostia	N
username username username 😂 vaya bueno	P
username username username   Before flying BA/IBERIA ... RT/SHARE: POR FAVOR: PASAJEROS QUE IBERIA...  url	N
username Gracias por vuestra atención y Feliz2018 😘😘	P
Con username	NEU
username 50 años	NEU
Compañeros: vuestra lucha es legítima y necesaria. Casualidad hay. Otra cosa es que no haya intencionalidad de ento...  url	NEU
Con username	NEU
username username username El autobús al aeropuerto	N
El Supremo confirma la indemnización a los padres de una azafata fallecida en el accidente de Spanair  url	P
canarias_es: Iberia ¡Por muchos años más! 👏🏼👏🏼👏🏼. Gracias por compartir amigos.	NEU
username Ademas recibí por dm de username  un supuesto codigo de reserva que era para iberia y mas encima no es co...  url	N
El sindicato alemán de pilotos convoca la primera huelga de Ryanair	N
Vamos Iberia y la ctm	NEU
Iberia y Air Nostrum renuevan su apuesta por Cantabria  url	P
HolaArgentina a viajar por Iberia	P
Iberia aumentará el número de vuelos a San Juan - Sin Comillas  url	NEU
Con username	NEU
Quedará algún billete a estas alturas....?🧐  url	NEU
Están weando mucho con Vallenar y Melipilla	NEU
Me dan ganas de hacerlo a mí (lo de salir por la salida de emergencia) cada vez que Ryanair se retrasa en sus vuelo	N
Ryanair reconocerá a los sindicatos de pilotos para evitar un colapso en Navidad  url	NEU
username Este dia somos todos unidos ...azules	NEU
Ryanair garante que só contrata tripulantes de cabine qualificados o Jornal Economico - Economia Finanças  url	NEU
Un 14 de Diciembre de 1927...	NEU
username username username username username username username username username username...  url	P
PUERTO RICO	P
username No he dicho nada porque el vuelo iba casi vacío y se embarcaba por autobús en lugar de finger. No le doy má...  url	N
username Ya he confiado en Iberia y me fue pésimo	N
username username Cambiar vuelo sin aviso	N
username username Ya esta resuelto	P
username quitáis maletas para meter abrigos? Y por cierto del trato del equipaje ya ni hablamos.	N
Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid  url	NEU
Iberia hoy hace su agosto conmigo 😂😂😂	N
Y el punto de inflexion de iberia fue traer a Landeros	N
Es un orgullo poder pertenecer a una gran compañia llena de tan buenos profesionales que nos esforzamos a diario pa...  url	P
La de Manchester ya sabemos porque es jaja  url	NEU
Con username	NEU
